department,daily_tasks_completed,avg_task_time_hr,team_size,issues_reported
Finance,54,2.492021893650588,9,1
Operations,74,1.2571071989895888,11,2
Operations,79,3.727428275279493,13,0
IT,40,5.723590409697274,5,2
Operations,37,3.5151719574178095,14,4
Finance,12,4.643205333787175,14,4
IT,29,2.435585201422021,10,4
HR,48,3.6501996250239,9,4
Operations,42,4.215114215922815,13,1
HR,58,4.996875569326513,14,1
Finance,67,3.997120636234404,12,4
IT,65,4.441947790303253,3,1
Operations,79,4.958225257827249,7,3
HR,76,4.871966322217448,14,1
HR,10,5.3970234298485975,6,1
Operations,67,1.7851433821769118,6,0
Operations,73,1.8268999904958552,12,1
Finance,56,2.439386951642819,7,1
Finance,52,2.9994203890177404,8,4
Finance,65,4.41334810200034,4,2
Finance,64,1.2049177216615017,12,2
HR,57,1.7586185616581114,5,3
Operations,14,3.7146144686458116,10,4
Finance,52,1.0248883172545398,8,3
Finance,59,5.500140030333693,8,3
Operations,63,3.968893892437882,4,4
Operations,34,2.193354512247052,12,3
